Leaving Group,Count
O,137756
Cl,126019
,71971
Br,65231
C,25362
O.[O&-],18852
I,18772
C-C,15528
Br.O-B-O,12410
C-C(-C)(-C)-O-C=O,12409
F,11864
O.O,10626
C-C-O,8801
C-c1:c:c:c:c:c:1,8166
C-O,7406
O=C1-C-C-C(=O)-N-1,7280
Br.C-C1(-C)-O-B-O-C-1(-C)-C,6839
C.O,6603
O.C-C,5385
C-C(-O)=O,5330
C-C(-C)-C,4550
N,4306
O.Cl-S=O,4262
Cl.Cl,4261
C-C=O,4204
[O&-],4153
C-S(-O)(=O)=O,4034
Cl.O,3966
Cl.O-B-O,3443
Br.O,3268
Cl-c1:c:c:c:c(-C-O-O):c:1,3195
O.[O&-].[O&-],3143
O=C-O-C-c1:c:c:c:c:c:1,2903
[N&+]=[N&-],2885
O.Cl-P(-Cl)=O,2861
C-[#14](-C)-C(-C)(-C)-C,2546
Cl.C-C1(-C)-O-B-O-C-1(-C)-C,2481
I.O-B-O,2393
C-c1:c:c:c(-S(-O)(=O)=O):c:c:1,2383
Br-[#12],2350
Br.Br,2326
C-S,2318
O.C-C-O,2318
O.C-C(-C)(-C)-O-C=O,2246
C-[#14](-C)-C,2203
C.C,2193
F-C(-F)(-F)-S(-O)(=O)=O,1828
C-S(=O)=O,1812
C-C-C,1774
S,1705
C-O.C-O,1616
C-N-C,1566
O=C-c1:c:c:c:c:c:1-C=O,1512
C.Cl,1504
O.O.[O&-],1503
C.O.O,1399
O-B-O,1392
I.C-C1(-C)-O-B-O-C-1(-C)-C,1300
Br.Cl,1271
Br.C-C-C-C-[#50](-C-C-C-C)-C-C-C-C,1265
C-O-C-C-[#14](-C)(-C)-C,1225
C1-C-C-O-C-C-1,1225
O.C-C(-C)-C,1201
O.c1:c:c:c(-[P&+](-c2:c:c:c:c:c:2)-c2:c:c:c:c:c:2):c:c:1,1196
O.C-O,1193
O.C-C-O-P(=O)-O-C-C,1149
C-O-c1:c:c:c(-C):c:c:1,1088
O-C=O,1081
N.O,1068
O.Cl-C(=O)-C=O,1066
Br.C,1062
C-c1:c:c:c(-S(=O)=O):c:c:1,1047
C-C-O-C=O,1044
O-c1:c:c:c:c:c:1,1036
O.O.C-C,1028
c1:c:n:c:n:1.c1:c:n:c:n:1,975
Cl.C-C(-C)(-C)-O-C=O,975
Br.C-C,957
C=O,916
F-C(-F)(-F)-S(-O)(=O)=O.O-B-O,869
C-S=O,864
c1:c:c:c(-C(-c2:c:c:c:c:c:2)-c2:c:c:c:c:c:2):c:c:1,859
C-C.C-C,842
O.C-N-C,842
O.c1:c:c:c:c:c:1,822
C-c1:c:c:c:c:c:1.C-c1:c:c:c:c:c:1,817
O.Br-P-Br,814
F-C(-F)(-F)-C=O,801
